,Timestamp,Acc-x, Acc-y, Acc-z,Time
6281,1640237455639,-0.44496015,5.247296,10.168207,2021:12:23:14:30:55.639
6282,1640237455656,-0.38207883,4.2513757,6.6642213,2021:12:23:14:30:55.656
6283,1640237455675,-0.43058726,2.7691731,8.29135,2021:12:23:14:30:55.675
6284,1640237455707,-0.03174009,4.2082567,8.711158,2021:12:23:14:30:55.707
6285,1640237455722,0.2425422,3.2458735,7.4708986,2021:12:23:14:30:55.722
6286,1640237455740,0.7467904,3.3422914,7.136131,2021:12:23:14:30:55.740
6287,1640237455756,0.3096156,2.7841449,14.808848,2021:12:23:14:30:55.756
6288,1640237455779,0.0886327,5.0406857,8.550661,2021:12:23:14:30:55.779
6289,1640237455796,0.47789797,1.4223154,7.617023,2021:12:23:14:30:55.796
6290,1640237455823,0.7084628,3.6309466,12.045065,2021:12:23:14:30:55.823
6291,1640237455842,0.7419995,1.7205524,8.460831,2021:12:23:14:30:55.842
6292,1640237455859,0.75637233,2.985964,9.965191,2021:12:23:14:30:55.859
6293,1640237455880,0.7905079,3.2267096,6.1360183,2021:12:23:14:30:55.880
6294,1640237455898,-0.10360444,2.687727,9.710671,2021:12:23:14:30:55.898
6295,1640237455926,-1.1222817,3.2602463,15.836509,2021:12:23:14:30:55.926
6296,1640237455942,0.376689,7.932627,9.993937,2021:12:23:14:30:55.942
6297,1640237455956,0.13175131,3.380619,5.2161546,2021:12:23:14:30:55.956
6298,1640237455973,1.4534566,0.9695699,7.8338137,2021:12:23:14:30:55.973
6299,1640237455994,1.2133099,4.48733,12.299584,2021:12:23:14:30:55.994
6300,1640237456014,2.0157952,2.5481904,8.329079,2021:12:23:14:30:56.014
6301,1640237456041,0.376689,3.69802,6.494741,2021:12:23:14:30:56.041
6302,1640237456059,-0.3826777,1.5277164,8.4422655,2021:12:23:14:30:56.059
6303,1640237456074,0.6940899,3.197964,10.856908,2021:12:23:14:30:56.074
6304,1640237456107,1.0402366,8.096119,9.677733,2021:12:23:14:30:56.107
6305,1640237456122,0.54497135,4.227421,9.484299,2021:12:23:14:30:56.122
6306,1640237456138,-0.6803159,2.0187895,7.423588,2021:12:23:14:30:56.138
6307,1640237456156,-1.5456825,2.5194445,8.414119,2021:12:23:14:30:56.156
6308,1640237456177,-1.2474455,3.6022007,8.621327,2021:12:23:14:30:56.177
6309,1640237456196,0.030542351,2.976382,9.224988,2021:12:23:14:30:56.196
6310,1640237456221,-0.1658869,3.7219748,6.4192834,2021:12:23:14:30:56.221
6311,1640237456238,-0.17067784,2.7020998,7.234944,2021:12:23:14:30:56.238
6312,1640237456257,0.73301643,3.3518734,9.701089,2021:12:23:14:30:56.257
6313,1640237456277,0.6605532,5.1754313,6.692368,2021:12:23:14:30:56.277
6314,1640237456305,0.4060336,3.087173,9.021971,2021:12:23:14:30:56.305
6315,1640237456321,0.47789797,3.0386646,9.866377,2021:12:23:14:30:56.321
6316,1640237456340,0.93004453,1.6289254,8.248831,2021:12:23:14:30:56.340
6317,1640237456356,1.8481117,2.586518,11.021597,2021:12:23:14:30:56.356
6318,1640237456380,1.0402366,3.3129468,7.8715425,2021:12:23:14:30:56.380
6319,1640237456395,1.0546094,3.2506645,8.20631,2021:12:23:14:30:56.395
6320,1640237456422,1.0935359,3.0099187,10.99345,2021:12:23:14:30:56.422
6321,1640237456438,1.0594004,4.189093,7.77752,2021:12:23:14:30:56.438
6322,1640237456456,0.122768275,3.5345285,9.564547,2021:12:23:14:30:56.456
6323,1640237456476,0.31021446,3.303365,12.978703,2021:12:23:14:30:56.476
6324,1640237456495,-0.29105064,4.5591946,9.710671,2021:12:23:14:30:56.495
6325,1640237456522,-0.88692594,3.6022007,6.904967,2021:12:23:14:30:56.522
6326,1640237456537,-1.1126997,4.7232847,5.692855,2021:12:23:14:30:56.537
6327,1640237456556,-0.9444174,3.9627204,11.281507,2021:12:23:14:30:56.556
6328,1640237456577,-1.1462365,3.3081558,8.447056,2021:12:23:14:30:56.577
6329,1640237456596,-1.0743722,3.9531384,8.234457,2021:12:23:14:30:56.596
6330,1640237456620,-1.5355017,3.1063368,9.182468,2021:12:23:14:30:56.620
6331,1640237456639,-1.4588464,2.875173,9.83823,2021:12:23:14:30:56.639
6332,1640237456657,-1.4540554,2.9955459,9.069282,2021:12:23:14:30:56.657
6333,1640237456678,-1.5929933,3.5057828,9.290864,2021:12:23:14:30:56.678
6334,1640237456707,-0.6946888,2.6541903,10.234083,2021:12:23:14:30:56.707
6335,1640237456724,-0.61264366,2.899128,8.805181,2021:12:23:14:30:56.724
6336,1640237456740,-1.1893551,4.8286858,6.7965717,2021:12:23:14:30:56.740
6337,1640237456774,-1.1174908,4.0783024,7.3625035,2021:12:23:14:30:56.774
6338,1640237456792,-0.77134407,3.886065,10.153834,2021:12:23:14:30:56.792
6339,1640237456816,-0.6222255,4.424449,7.9895196,2021:12:23:14:30:56.816
6340,1640237456841,-0.8479994,2.875173,7.956582,2021:12:23:14:30:56.841
6341,1640237456860,-0.49766067,1.8984168,9.559756,2021:12:23:14:30:56.860
6342,1640237456872,-0.01676835,3.5057828,9.474716,2021:12:23:14:30:56.872
6343,1640237456896,-0.05030505,3.298574,10.724558,2021:12:23:14:30:56.896
6344,1640237456920,-0.31021446,3.5441105,9.941834,2021:12:23:14:30:56.920
6345,1640237456936,-0.055096008,3.59202,7.5415654,2021:12:23:14:30:56.936
6346,1640237456956,0.04551409,3.707602,9.130965,2021:12:23:14:30:56.956
6347,1640237456977,-0.29105064,4.155556,8.102706,2021:12:23:14:30:56.977
6348,1640237456996,-0.9779541,3.8812742,8.696785,2021:12:23:14:30:56.996
6349,1640237457020,-0.4635251,3.799229,6.201894,2021:12:23:14:30:57.020
6350,1640237457036,-0.6605532,2.8272636,8.98005,2021:12:23:14:30:57.036
6351,1640237457056,0.36770597,3.8327656,9.692106,2021:12:23:14:30:57.056
