,timestamp,x,y,z,Time
22772,1648711406579,-0.97196543,4.7238836,7.7793164,2022:03:31:16:23:26.579
22773,1648711406598,-1.3851855,3.877082,7.1660743,2022:03:31:16:23:26.598
22774,1648711406619,-0.601864,2.775162,9.326197,2022:03:31:16:23:26.619
22775,1648711406642,-0.39525396,3.771681,8.82135,2022:03:31:16:23:26.642
22776,1648711406660,-0.45274544,3.6992178,9.552569,2022:03:31:16:23:26.660
22777,1648711406678,0.19642924,3.1362803,10.255044,2022:03:31:16:23:26.678
22778,1648711406701,-0.2503275,4.1130366,9.146536,2022:03:31:16:23:26.701
22779,1648711406725,-0.85638356,4.4400196,9.160909,2022:03:31:16:23:26.725
22780,1648711406743,-0.5341917,4.8490477,6.3737698,2022:03:31:16:23:26.743
22781,1648711406760,-0.75996554,2.6985066,9.769361,2022:03:31:16:23:26.760
22782,1648711406782,-0.45334432,2.6260433,12.5894375,2022:03:31:16:23:26.782
22783,1648711406798,-1.0731744,3.353071,8.995621,2022:03:31:16:23:26.798
22784,1648711406822,-1.7654676,2.8380432,5.5245724,2022:03:31:16:23:26.822
22785,1648711406843,-1.111502,1.4474679,10.245461,2022:03:31:16:23:26.843
22786,1648711406863,-0.49167198,3.3913987,12.136692,2022:03:31:16:23:26.863
22787,1648711406879,-0.72283566,3.5261445,9.311824,2022:03:31:16:23:26.879
22788,1648711406902,-0.29464385,4.1034546,7.217577,2022:03:31:16:23:26.902
22789,1648711406925,0.56533295,3.280608,8.509937,2022:03:31:16:23:26.925
22790,1648711406941,-0.6455815,3.9399633,9.061497,2022:03:31:16:23:26.941
22791,1648711406959,-0.35752517,3.983082,10.240671,2022:03:31:16:23:26.959
22792,1648711406983,-0.376689,5.797058,7.854175,2022:03:31:16:23:26.983
22793,1648711407001,0.43058726,3.386608,8.052402,2022:03:31:16:23:27.001
22794,1648711407025,0.42100537,2.7176704,9.490886,2022:03:31:16:23:27.025
22795,1648711407042,0.079649664,3.9926639,9.198638,2022:03:31:16:23:27.042
22796,1648711407065,-0.13175131,5.821013,8.562039,2022:03:31:16:23:27.065
22797,1648711407084,-0.38147995,3.4584723,10.382004,2022:03:31:16:23:27.084
22798,1648711407108,-0.15091515,3.6075907,9.886739,2022:03:31:16:23:27.108
22799,1648711407124,-0.25212413,4.382528,7.2696786,2022:03:31:16:23:27.124
22800,1648711407145,-0.19403376,3.896246,9.042932,2022:03:31:16:23:27.145
22801,1648711407163,0.21439533,4.1854997,9.476513,2022:03:31:16:23:27.163
22802,1648711407186,0.32578507,3.0206985,9.59449,2022:03:31:16:23:27.186
22803,1648711407207,1.0174795,2.8236704,9.184265,2022:03:31:16:23:27.207
22804,1648711407227,1.5223266,2.876371,9.019575,2022:03:31:16:23:27.227
22805,1648711407245,1.5510724,2.6889246,4.704121,2022:03:31:16:23:27.245
22806,1648711407269,1.1282704,1.143841,7.2840514,2022:03:31:16:23:27.269
22807,1648711407287,0.40723136,1.2785866,12.971517,2022:03:31:16:23:27.287
22808,1648711407309,0.109593146,3.5357263,9.807089,2022:03:31:16:23:27.309
22809,1648711407330,-0.21259873,4.247782,5.2652617,2022:03:31:16:23:27.330
22810,1648711407348,0.16229367,3.881873,6.4396453,2022:03:31:16:23:27.348
22811,1648711407368,-0.5785081,3.9351723,11.759404,2022:03:31:16:23:27.368
22812,1648711407386,-0.5497623,5.118539,9.542988,2022:03:31:16:23:27.386
22813,1648711407409,-1.0354456,4.5172734,8.203317,2022:03:31:16:23:27.409
22814,1648711407428,-0.5599431,4.069918,9.425011,2022:03:31:16:23:27.428
22815,1648711407449,-0.9444174,2.2798967,10.976083,2022:03:31:16:23:27.449
22816,1648711407474,-1.2181008,3.0302804,12.5894375,2022:03:31:16:23:27.474
22817,1648711407491,-0.8629711,6.2737584,7.924842,2022:03:31:16:23:27.491
22818,1648711407509,0.059886962,3.8243816,8.60396,2022:03:31:16:23:27.509
22819,1648711407530,0.60306174,2.3565521,13.513494,2022:03:31:16:23:27.530
22820,1648711407551,0.19463263,4.459782,11.74024,2022:03:31:16:23:27.551
22821,1648711407575,-0.53598833,6.64386,8.439271,2022:03:31:16:23:27.575
22822,1648711407593,0.2623049,5.5227757,4.359771,2022:03:31:16:23:27.593
22823,1648711407610,0.031141222,2.0918517,8.123068,2022:03:31:16:23:27.610
22824,1648711407632,-0.3868698,2.8428342,7.547554,2022:03:31:16:23:27.632
22825,1648711407651,-0.7138526,2.66497,9.571135,2022:03:31:16:23:27.651
22826,1648711407677,-0.75697124,3.1123254,9.344762,2022:03:31:16:23:27.677
22827,1648711407693,-0.06946888,1.6780328,6.689374,2022:03:31:16:23:27.693
22828,1648711407714,-0.04551409,1.2019314,10.910207,2022:03:31:16:23:27.714
22829,1648711407731,-0.5599431,3.6369352,12.348692,2022:03:31:16:23:27.731
22830,1648711407753,0.15151402,4.955047,7.156492,2022:03:31:16:23:27.753
22831,1648711407774,1.1085078,3.891455,7.217577,2022:03:31:16:23:27.774
22832,1648711407790,0.108994275,1.851705,12.188195,2022:03:31:16:23:27.790
22833,1648711407812,-0.48209006,4.2238274,10.212523,2022:03:31:16:23:27.812
22834,1648711407832,0.14732192,4.6328554,7.750571,2022:03:31:16:23:27.832
22835,1648711407858,1.27679,5.118539,6.7318935,2022:03:31:16:23:27.858
22836,1648711407875,0.8539881,3.8243816,7.4583225,2022:03:31:16:23:27.875
22837,1648711407895,-0.23236142,2.5104616,9.599281,2022:03:31:16:23:27.895
22838,1648711407914,-0.50604486,5.128121,7.0858254,2022:03:31:16:23:27.914
22839,1648711407932,-0.5683273,5.402403,6.5103116,2022:03:31:16:23:27.932
22840,1648711407957,-0.4772991,3.0739977,10.613168,2022:03:31:16:23:27.957
22841,1648711407975,-0.6455815,2.7943258,10.042445,2022:03:31:16:23:27.975
22842,1648711407994,0.041322004,5.080211,10.146648,2022:03:31:16:23:27.994
22843,1648711408016,0.8587791,4.974211,9.169892,2022:03:31:16:23:28.016
22844,1648711408035,0.73840624,3.0979526,9.533405,2022:03:31:16:23:28.035
22845,1648711408058,0.6371973,1.9864506,9.207621,2022:03:31:16:23:28.058
22846,1648711408076,0.6419883,2.260733,7.6325936,2022:03:31:16:23:28.076
22847,1648711408096,1.6325186,1.7073773,11.212037,2022:03:31:16:23:28.096
22848,1648711408115,1.6277276,2.5445971,10.042445,2022:03:31:16:23:28.115
22849,1648711408142,0.90189767,2.535015,8.1518135,2022:03:31:16:23:28.142
22850,1648711408156,-0.6940899,3.5884268,6.9397016,2022:03:31:16:23:28.156
22851,1648711408175,-0.96358126,3.4105625,10.037654,2022:03:31:16:23:28.175
22852,1648711408195,-1.501965,5.517985,9.698095,2022:03:31:16:23:28.195
22853,1648711408219,-2.751806,6.1917133,7.863757,2022:03:31:16:23:28.219
22854,1648711408240,-2.1798854,4.589737,8.042819,2022:03:31:16:23:28.240
22855,1648711408263,-1.9301568,3.5980089,9.348954,2022:03:31:16:23:28.263
22856,1648711408277,-1.7618744,2.8955348,10.8395405,2022:03:31:16:23:28.277
22857,1648711408309,-1.4690272,3.6321445,10.386795,2022:03:31:16:23:28.309
22858,1648711408316,-1.7576823,4.5364375,6.7881875,2022:03:31:16:23:28.316
22859,1648711408339,0.27068907,3.6944268,5.7132163,2022:03:31:16:23:28.339
22860,1648711408358,0.280271,2.3038516,8.184153,2022:03:31:16:23:28.358
22861,1648711408378,0.17606768,3.9639182,10.056818,2022:03:31:16:23:28.378
22862,1648711408396,-0.11258749,4.425647,11.848636,2022:03:31:16:23:28.396
22863,1648711408423,0.5126324,5.49403,7.9487967,2022:03:31:16:23:28.423
22864,1648711408438,0.5222143,3.3141446,7.594865,2022:03:31:16:23:28.438
22865,1648711408459,0.008384175,2.342179,9.712468,2022:03:31:16:23:28.459
22866,1648711408478,0.28685856,3.145862,7.3074074,2022:03:31:16:23:28.478
22867,1648711408502,0.7144515,2.1062245,8.816559,2022:03:31:16:23:28.502
22868,1648711408526,-0.2269716,1.3606318,12.263653,2022:03:31:16:23:28.526
22869,1648711408540,0.06587566,2.448179,9.72205,2022:03:31:16:23:28.540
22870,1648711408559,0.45514092,3.1171165,8.194333,2022:03:31:16:23:28.559
22871,1648711408582,-0.016169481,3.4926078,7.500842,2022:03:31:16:23:28.582
22872,1648711408601,-0.059288096,4.0309916,8.642287,2022:03:31:16:23:28.601
22873,1648711408624,0.67133284,3.3913987,10.490998,2022:03:31:16:23:28.624
22874,1648711408641,0.21020325,3.9160085,9.98136,2022:03:31:16:23:28.641
22875,1648711408662,-0.17427106,5.0658383,7.732006,2022:03:31:16:23:28.662
22876,1648711408680,-0.13594341,4.382528,7.7649436,2022:03:31:16:23:28.680
22877,1648711408705,-0.039525397,4.1417823,8.788412,2022:03:31:16:23:28.705
22878,1648711408723,0.06587566,4.5508103,9.67953,2022:03:31:16:23:28.723
22879,1648711408741,-0.25092638,4.3729463,6.458809,2022:03:31:16:23:28.741
22880,1648711408760,0.027548004,2.5152524,9.783134,2022:03:31:16:23:28.760
22881,1648711408784,-0.67013514,4.4448104,9.5519705,2022:03:31:16:23:28.784
22882,1648711408805,-0.4539432,4.2094545,7.958379,2022:03:31:16:23:28.805
22883,1648711408824,-0.07425983,3.6075907,9.151327,2022:03:31:16:23:28.824
22884,1648711408841,-0.27128795,4.305274,9.953214,2022:03:31:16:23:28.841
22885,1648711408863,-0.8677621,3.8291724,11.122207,2022:03:31:16:23:28.863
22886,1648711408884,-0.25212413,4.488528,8.500356,2022:03:31:16:23:28.884
22887,1648711408906,0.48268893,3.2183254,8.113486,2022:03:31:16:23:28.906
22888,1648711408925,1.3672193,3.2853987,8.528502,2022:03:31:16:23:28.925
22889,1648711408945,0.75697124,1.942733,9.316016,2022:03:31:16:23:28.945
22890,1648711408964,0.8336265,2.048733,9.952615,2022:03:31:16:23:28.964
22891,1648711408991,1.1372534,2.5685518,8.670435,2022:03:31:16:23:28.991
22892,1648711409007,1.0743722,2.0295691,8.118277,2022:03:31:16:23:29.007
22893,1648711409027,0.24793203,1.8852416,9.278886,2022:03:31:16:23:29.027
22894,1648711409048,0.0029943483,3.7423363,9.495677,2022:03:31:16:23:29.048
22895,1648711409066,-0.5353895,4.9023466,8.94352,2022:03:31:16:23:29.066
22896,1648711409091,-0.6216267,4.8442564,9.457948,2022:03:31:16:23:29.091
22897,1648711409109,0.50784147,4.363364,9.392073,2022:03:31:16:23:29.109
22898,1648711409128,0.9977168,4.060336,9.136954,2022:03:31:16:23:29.128
22899,1648711409149,0.767152,3.179399,10.532919,2022:03:31:16:23:29.149
22900,1648711409175,0.4359771,4.214246,9.085451,2022:03:31:16:23:29.175
22901,1648711409191,0.0077853054,3.4201446,8.236254,2022:03:31:16:23:29.191
22902,1648711409209,0.5461691,4.1609464,6.713329,2022:03:31:16:23:29.209
22903,1648711409231,0.35872293,3.656099,6.3689785,2022:03:31:16:23:29.231
22904,1648711409251,0.37788674,2.9440432,11.886365,2022:03:31:16:23:29.251
22905,1648711409275,0.41681325,4.262155,12.627166,2022:03:31:16:23:29.275
22906,1648711409293,-0.078451924,6.3216677,7.750571,2022:03:31:16:23:29.293
22907,1648711409310,0.061084703,4.156155,2.8649924,2022:03:31:16:23:29.310
22908,1648711409335,-0.5874911,1.0719767,9.448366,2022:03:31:16:23:29.335
22909,1648711409351,-0.4239997,2.857207,8.73152,2022:03:31:16:23:29.351
22910,1648711409372,-0.8426096,2.2074335,9.316615,2022:03:31:16:23:29.372
22911,1648711409389,-0.9150728,1.9139874,15.786802,2022:03:31:16:23:29.389
22912,1648711409408,-1.4049481,3.2901897,11.31145,2022:03:31:16:23:29.408
22913,1648711409428,-0.5066437,3.3141446,7.6092377,2022:03:31:16:23:29.428
22914,1648711409451,-0.9917281,2.9194894,8.839914,2022:03:31:16:23:29.451
22915,1648711409475,-0.6455815,4.4160647,12.0941725,2022:03:31:16:23:29.475
22916,1648711409492,-0.14612418,5.1329117,6.5198936,2022:03:31:16:23:29.492
22917,1648711409511,-0.75637233,1.7504959,9.259723,2022:03:31:16:23:29.511
22918,1648711409533,-1.3282928,4.671183,6.8828087,2022:03:31:16:23:29.533
22919,1648711409557,-0.65576226,5.292211,4.1148334,2022:03:31:16:23:29.557
22920,1648711409576,0.35812405,2.9242804,9.990942,2022:03:31:16:23:29.576
22921,1648711409593,0.07006775,5.301793,8.547667,2022:03:31:16:23:29.593
22922,1648711409615,-0.51622564,4.6232734,6.9301195,2022:03:31:16:23:29.615
22923,1648711409635,-0.11737845,3.5021896,8.566232,2022:03:31:16:23:29.635
22924,1648711409656,-0.71864355,3.968709,8.764457,2022:03:31:16:23:29.656
22925,1648711409675,-0.7090616,4.2382,10.8724785,2022:03:31:16:23:29.675
22926,1648711409693,-1.0498185,2.7368343,11.546805,2022:03:31:16:23:29.693
22927,1648711409715,0.19463263,2.4338062,9.665157,2022:03:31:16:23:29.715
22928,1648711409741,1.1606094,3.1985626,10.004716,2022:03:31:16:23:29.741
22929,1648711409757,1.4828012,2.9967437,8.953101,2022:03:31:16:23:29.757
22930,1648711409775,1.5121459,4.5843472,7.557136,2022:03:31:16:23:29.775
22931,1648711409796,1.4786091,3.8052177,8.529101,2022:03:31:16:23:29.796
22932,1648711409817,0.98873377,3.670472,7.8074636,2022:03:31:16:23:29.817
22933,1648711409837,0.5371861,1.4857956,6.651645,2022:03:31:16:23:29.837
22934,1648711409857,0.4695138,1.6397051,9.274096,2022:03:31:16:23:29.857
22935,1648711409874,0.36411273,3.0206985,11.22641,2022:03:31:16:23:29.874
22936,1648711409894,-1.0007112,3.6417263,9.892129,2022:03:31:16:23:29.894
22937,1648711409915,-0.7414006,3.8100085,10.801811,2022:03:31:16:23:29.915
22938,1648711409936,-0.5587454,4.6663923,9.368117,2022:03:31:16:23:29.936
22939,1648711409958,-1.0725756,5.595239,7.4020286,2022:03:31:16:23:29.958
22940,1648711409975,-0.63180745,3.9639182,9.071078,2022:03:31:16:23:29.975
22941,1648711409996,-0.670734,3.9255905,9.254931,2022:03:31:16:23:29.996
22942,1648711410016,-0.9779541,3.66089,9.438785,2022:03:31:16:23:30.016
22943,1648711410034,-1.2522364,2.8955348,10.089756,2022:03:31:16:23:30.034
22944,1648711410056,-1.1270727,3.5836358,9.702886,2022:03:31:16:23:30.056
22945,1648711410077,-1.6223378,5.797058,6.9253283,2022:03:31:16:23:30.077
22946,1648711410100,-1.3821911,4.1226187,7.8445935,2022:03:31:16:23:30.100
22947,1648711410118,-0.62282443,3.8579183,10.23588,2022:03:31:16:23:30.118
22948,1648711410141,-1.286372,4.8059287,8.30213,2022:03:31:16:23:30.141
22949,1648711410158,-1.4690272,3.5980089,8.726728,2022:03:31:16:23:30.158
22950,1648711410179,-1.1600105,3.165026,10.02388,2022:03:31:16:23:30.179
22951,1648711410198,-0.9917281,3.6273534,9.25014,2022:03:31:16:23:30.198
22952,1648711410223,-0.47250813,3.261444,9.556762,2022:03:31:16:23:30.223
22953,1648711410241,-1.0348468,3.5117714,7.515215,2022:03:31:16:23:30.241
22954,1648711410262,-1.3612307,2.563761,8.910582,2022:03:31:16:23:30.262
22955,1648711410280,-1.7600778,2.3038516,9.330389,2022:03:31:16:23:30.280
22956,1648711410299,-0.9240559,2.4625518,11.000037,2022:03:31:16:23:30.299
22957,1648711410322,-0.3138077,3.5884268,8.793202,2022:03:31:16:23:30.322
22958,1648711410341,1.17618,3.468054,7.732006,2022:03:31:16:23:30.341
22959,1648711410362,1.1138976,3.2374892,9.462739,2022:03:31:16:23:30.362
22960,1648711410380,0.17067784,4.464573,7.2930346,2022:03:31:16:23:30.380
22961,1648711410403,0.6803159,3.8243816,8.038029,2022:03:31:16:23:30.403
22962,1648711410422,0.877344,3.9064267,9.938841,2022:03:31:16:23:30.422
22963,1648711410441,1.300146,2.9823709,9.825654,2022:03:31:16:23:30.441
22964,1648711410461,1.7858293,3.8195906,8.637497,2022:03:31:16:23:30.461
22965,1648711410483,1.3193098,3.5500991,9.523824,2022:03:31:16:23:30.483
22966,1648711410508,0.53598833,3.66089,10.296965,2022:03:31:16:23:30.508
22967,1648711410525,0.064677924,4.4352283,8.844706,2022:03:31:16:23:30.525
22968,1648711410543,0.040723134,3.353071,8.863271,2022:03:31:16:23:30.543
22969,1648711410561,0.040723134,3.4584723,10.363439,2022:03:31:16:23:30.561
22970,1648711410585,0.63779616,4.661601,6.3078938,2022:03:31:16:23:30.585
22971,1648711410606,0.9114796,3.872291,5.798256,2022:03:31:16:23:30.606
22972,1648711410626,0.8539881,3.5980089,10.429315,2022:03:31:16:23:30.626
22973,1648711410642,-0.030542351,4.175319,11.651009,2022:03:31:16:23:30.642
22974,1648711410664,0.11378523,3.8435454,9.052513,2022:03:31:16:23:30.664
22975,1648711410684,0.22457612,2.4960887,8.193734,2022:03:31:16:23:30.684
22976,1648711410707,0.868361,1.4235132,9.948422,2022:03:31:16:23:30.707
22977,1648711410727,0.8300333,1.9187783,10.486207,2022:03:31:16:23:30.727
22978,1648711410748,0.65696,2.3373883,8.429689,2022:03:31:16:23:30.748
22979,1648711410769,0.61384135,2.5733428,9.311824,2022:03:31:16:23:30.769
22980,1648711410787,1.2336714,3.569263,8.547667,2022:03:31:16:23:30.787
22981,1648711410806,1.3869821,3.3333085,6.774413,2022:03:31:16:23:30.806
22982,1648711410827,0.9881349,3.7183816,7.9296327,2022:03:31:16:23:30.827
22983,1648711410845,0.78631586,4.579556,9.052513,2022:03:31:16:23:30.845
22984,1648711410867,-0.12636149,5.2437024,8.599768,2022:03:31:16:23:30.867
22985,1648711410886,-0.5305985,3.569263,8.82614,2022:03:31:16:23:30.886
22986,1648711410908,-0.48209006,3.6465173,8.500356,2022:03:31:16:23:30.908
22987,1648711410929,-0.21319759,3.1362803,12.278026,2022:03:31:16:23:30.929
22988,1648711410945,0.14253098,4.0459633,9.297451,2022:03:31:16:23:30.945
22989,1648711410967,-0.04970618,3.4878168,7.925441,2022:03:31:16:23:30.967
22990,1648711410988,0.48867762,2.8188794,10.226298,2022:03:31:16:23:30.988
22991,1648711411010,-0.38147995,4.1274095,8.444062,2022:03:31:16:23:31.010
22992,1648711411030,-0.280271,4.0357823,10.702998,2022:03:31:16:23:31.030
22993,1648711411049,-0.39585283,6.186922,8.486582,2022:03:31:16:23:31.049
22994,1648711411073,-0.07366096,5.080211,5.609612,2022:03:31:16:23:31.073
22995,1648711411090,-0.42459857,1.8756597,9.344762,2022:03:31:16:23:31.090
22996,1648711411109,-0.6312086,2.7559981,10.316129,2022:03:31:16:23:31.109
22997,1648711411132,-0.28506196,3.463263,7.5194073,2022:03:31:16:23:31.132
22998,1648711411151,0.022158176,3.2853987,3.784856,2022:03:31:16:23:31.151
22999,1648711411175,0.6174346,0.22038403,6.9774303,2022:03:31:16:23:31.175
